Czas	Masa[g]
2026-01-13 08:40:52.550788	0.000
2026-01-13 08:40:52.613063	0.000
2026-01-13 08:40:52.736782	0.000
2026-01-13 08:40:52.809201	0.000
2026-01-13 08:40:52.871178	0.000
2026-01-13 08:40:52.995772	0.000
2026-01-13 08:40:53.057767	0.000
2026-01-13 08:40:53.182179	0.000
2026-01-13 08:40:53.244042	0.000
2026-01-13 08:40:53.367873	0.000
2026-01-13 08:40:53.429730	0.000
2026-01-13 08:40:53.554044	0.000
2026-01-13 08:40:53.615867	0.000
2026-01-13 08:40:53.739931	0.000
2026-01-13 08:40:53.802255	0.000
2026-01-13 08:40:53.864328	0.000
2026-01-13 08:40:53.987245	0.000
2026-01-13 08:40:54.049502	0.000
2026-01-13 08:40:54.183492	0.000
2026-01-13 08:40:54.245409	0.000
2026-01-13 08:40:54.368591	0.000
2026-01-13 08:40:54.430918	0.000
2026-01-13 08:40:54.492321	0.000
2026-01-13 08:40:54.616364	0.000
2026-01-13 08:40:54.678196	0.000
2026-01-13 08:40:54.802955	0.000
2026-01-13 08:40:54.885056	0.000
2026-01-13 08:40:54.988285	0.000
2026-01-13 08:40:55.050178	0.000
2026-01-13 08:40:55.184222	0.000
2026-01-13 08:40:55.245769	0.000
2026-01-13 08:40:55.307853	0.000
2026-01-13 08:40:55.431176	0.000
2026-01-13 08:40:55.493587	0.000
2026-01-13 08:40:55.616824	0.000
2026-01-13 08:40:55.679074	0.000
2026-01-13 08:40:55.803990	0.000
2026-01-13 08:40:55.865630	0.000
2026-01-13 08:40:55.937730	0.000
2026-01-13 08:40:56.051679	0.000
2026-01-13 08:40:56.113562	0.000
2026-01-13 08:40:56.237788	0.000
2026-01-13 08:40:56.310194	0.000
2026-01-13 08:40:56.424060	0.000
2026-01-13 08:40:56.495830	0.000
2026-01-13 08:40:56.620294	0.000
2026-01-13 08:40:56.682796	0.000
2026-01-13 08:40:56.744898	0.000
2026-01-13 08:40:56.868783	0.000
2026-01-13 08:40:56.930521	0.000
2026-01-13 08:40:57.054351	0.000
2026-01-13 08:40:57.116271	0.000
2026-01-13 08:40:57.238922	0.000
2026-01-13 08:40:57.301182	0.000
2026-01-13 08:40:57.425454	0.000
2026-01-13 08:40:57.487135	0.000
2026-01-13 08:40:57.621242	0.000
2026-01-13 08:40:57.683362	0.000
2026-01-13 08:40:57.745509	0.000
2026-01-13 08:40:57.890570	0.000
2026-01-13 08:40:57.931755	0.000
2026-01-13 08:40:58.055231	0.000
2026-01-13 08:40:58.116838	0.000
2026-01-13 08:40:58.241677	0.000
2026-01-13 08:40:58.303779	0.000
2026-01-13 08:40:58.365400	0.000
2026-01-13 08:40:58.489450	0.000
2026-01-13 08:40:58.551716	0.000
2026-01-13 08:40:58.675419	0.000
2026-01-13 08:40:58.737391	0.000
2026-01-13 08:40:58.870681	0.000
2026-01-13 08:40:58.932680	0.000
2026-01-13 08:40:58.994809	0.000
2026-01-13 08:40:59.119360	0.000
2026-01-13 08:40:59.181761	0.000
2026-01-13 08:40:59.305455	0.000
2026-01-13 08:40:59.367770	0.000
2026-01-13 08:40:59.491682	0.000
2026-01-13 08:40:59.553690	0.000
2026-01-13 08:40:59.676788	0.000
2026-01-13 08:40:59.738129	0.000
2026-01-13 08:40:59.861743	0.000
2026-01-13 08:40:59.933653	0.000
2026-01-13 08:40:59.994720	0.000
2026-01-13 08:41:00.118671	0.000
2026-01-13 08:41:00.180240	0.000
2026-01-13 08:41:00.303755	0.000
2026-01-13 08:41:00.365332	0.000
2026-01-13 08:41:00.488354	0.000
2026-01-13 08:41:00.550236	0.000
2026-01-13 08:41:00.683697	0.000
2026-01-13 08:41:00.744596	0.000
2026-01-13 08:41:00.805853	0.000
2026-01-13 08:41:00.887649	0.000
2026-01-13 08:41:00.990333	0.000
2026-01-13 08:41:01.113362	0.000
2026-01-13 08:41:01.175307	0.000
2026-01-13 08:41:01.307273	0.000
2026-01-13 08:41:01.368929	0.000
2026-01-13 08:41:01.431135	0.000
2026-01-13 08:41:01.555043	0.000
2026-01-13 08:41:01.616823	0.000
2026-01-13 08:41:01.741350	0.000
2026-01-13 08:41:01.803150	0.000
2026-01-13 08:41:01.937276	0.000
2026-01-13 08:41:01.998630	0.000
2026-01-13 08:41:02.060524	0.000
2026-01-13 08:41:02.184017	0.000
2026-01-13 08:41:02.246302	0.000
2026-01-13 08:41:02.370684	0.000
2026-01-13 08:41:02.432692	0.000
2026-01-13 08:41:02.556330	0.000
2026-01-13 08:41:02.618224	0.000
2026-01-13 08:41:02.741683	0.000
2026-01-13 08:41:02.803523	0.000
2026-01-13 08:41:02.937303	0.000
2026-01-13 08:41:02.998771	0.000
2026-01-13 08:41:03.050351	0.000
2026-01-13 08:41:03.174778	0.000
2026-01-13 08:41:03.246854	0.000
2026-01-13 08:41:03.371235	0.000
2026-01-13 08:41:03.433651	0.000
2026-01-13 08:41:03.557782	0.000
2026-01-13 08:41:03.614641	0.000
2026-01-13 08:41:03.682162	0.000
2026-01-13 08:41:03.806764	0.000
2026-01-13 08:41:03.888840	0.000
2026-01-13 08:41:03.991684	0.000
2026-01-13 08:41:04.053368	0.000
2026-01-13 08:41:04.176943	0.000
2026-01-13 08:41:04.239103	0.000
2026-01-13 08:41:04.363705	0.000
2026-01-13 08:41:04.425369	0.000
2026-01-13 08:41:04.549497	0.000
2026-01-13 08:41:04.611690	0.000
2026-01-13 08:41:04.684246	0.000
2026-01-13 08:41:04.808481	0.000
2026-01-13 08:41:04.870510	0.000
2026-01-13 08:41:04.994485	0.000
2026-01-13 08:41:05.056335	0.000
2026-01-13 08:41:05.180678	0.000
2026-01-13 08:41:05.242677	0.000
2026-01-13 08:41:05.304677	0.000
2026-01-13 08:41:05.428338	0.000
2026-01-13 08:41:05.490681	0.000
2026-01-13 08:41:05.615548	0.000
2026-01-13 08:41:05.677328	0.000
2026-01-13 08:41:05.802179	0.000
